"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"E01014399","Bath and North East Somerset 001A","E06000022","Bath and North East Somerset",1647,325,241,331,389,361,1621,306,231,329,393,362,-0.015786278,-0.058461538,-0.041493776,-0.006042296,0.010282776,0.002770083
"E01014400","Bath and North East Somerset 001B","E06000022","Bath and North East Somerset",2208,374,427,411,504,492,2274,373,452,428,525,496,0.029891304,-0.002673797,0.058548009,0.04136253,0.041666667,0.008130081
"E01014401","Bath and North East Somerset 001C","E06000022","Bath and North East Somerset",1739,355,335,279,461,309,1745,343,337,280,471,314,0.003450259,-0.033802817,0.005970149,0.003584229,0.021691974,0.01618123
"E01014402","Bath and North East Somerset 002A","E06000022","Bath and North East Somerset",1765,324,307,325,415,394,1748,318,316,317,407,390,-0.009631728,-0.018518519,0.029315961,-0.024615385,-0.019277108,-0.010152284
"E01014403","Bath and North East Somerset 002B","E06000022","Bath and North East Somerset",1735,196,220,275,456,588,1669,188,206,265,425,585,-0.038040346,-0.040816327,-0.063636364,-0.036363636,-0.067982456,-0.005102041
"E01014404","Bath and North East Somerset 002C","E06000022","Bath and North East Somerset",2073,495,344,444,434,356,2051,484,346,442,419,360,-0.010612639,-0.022222222,0.005813953,-0.004504505,-0.034562212,0.011235955
"E01014395","Bath and North East Somerset 003A","E06000022","Bath and North East Somerset",1256,158,165,131,350,452,1247,158,157,129,353,450,-0.007165605,0,-0.048484848,-0.015267176,0.008571429,-0.004424779
"E01014396","Bath and North East Somerset 003B","E06000022","Bath and North East Somerset",1511,281,250,250,347,383,1518,280,249,255,350,384,0.004632694,-0.003558719,-0.004,0.02,0.008645533,0.002610966
"E01014397","Bath and North East Somerset 003C","E06000022","Bath and North East Somerset",1412,239,232,215,365,361,1401,242,215,216,365,363,-0.007790368,0.012552301,-0.073275862,0.004651163,0,0.005540166
"E01014398","Bath and North East Somerset 003D","E06000022","Bath and North East Somerset",1474,242,224,239,400,369,1465,253,217,240,400,355,-0.006105834,0.045454545,-0.03125,0.0041841,0,-0.037940379
"E01014409","Bath and North East Somerset 004A","E06000022","Bath and North East Somerset",1652,315,213,288,461,375,1664,316,217,299,464,368,0.007263923,0.003174603,0.018779343,0.038194444,0.006507592,-0.018666667
"E01014410","Bath and North East Somerset 004B","E06000022","Bath and North East Somerset",1758,356,189,295,537,381,1777,384,184,289,537,383,0.010807736,0.078651685,-0.026455026,-0.020338983,0,0.005249344
"E01014411","Bath and North East Somerset 004C","E06000022","Bath and North East Somerset",2098,385,354,408,556,395,2110,392,355,405,555,403,0.005719733,0.018181818,0.002824859,-0.007352941,-0.001798561,0.020253165
"E01014477","Bath and North East Somerset 005A","E06000022","Bath and North East Somerset",1482,265,188,260,354,415,1465,259,189,252,362,403,-0.011470985,-0.022641509,0.005319149,-0.030769231,0.02259887,-0.028915663
"E01014478","Bath and North East Somerset 005B","E06000022","Bath and North East Somerset",1229,285,198,225,302,219,1223,282,191,225,296,229,-0.004882018,-0.010526316,-0.035353535,0,-0.01986755,0.0456621
"E01014479","Bath and North East Somerset 005C","E06000022","Bath and North East Somerset",1506,248,208,292,366,392,1466,245,194,279,357,391,-0.026560425,-0.012096774,-0.067307692,-0.044520548,-0.024590164,-0.00255102
"E01014480","Bath and North East Somerset 005D","E06000022","Bath and North East Somerset",1570,341,334,287,355,253,1542,324,327,277,357,257,-0.017834395,-0.049853372,-0.020958084,-0.034843206,0.005633803,0.015810277
