"Code","Name","LA_code","LA_name","Orig_All","Orig_0to15","Orig_16to29","Orig_30to44","Orig_45to64","Orig_65plus","Rev_All","Rev_0to15","Rev_16to29","Rev_30to44","Rev_45to64","Rev_65plus","Diff_All","Diff_0to15","Diff_16to29","Diff_30to44","Diff_45to64","Diff_65plus"
"W01000062","Gwynedd 001A","W06000002","Gwynedd",2165,139,1572,215,137,102,2102,137,1513,218,130,104,-0.029099307,-0.014388489,-0.037531807,0.013953488,-0.051094891,0.019607843
"W01000076","Gwynedd 001B","W06000002","Gwynedd",1125,133,493,147,166,186,1156,138,501,154,176,187,0.027555556,0.037593985,0.016227181,0.047619048,0.060240964,0.005376344
"W01000077","Gwynedd 001C","W06000002","Gwynedd",1503,184,759,197,188,175,1506,191,755,196,190,174,0.001996008,0.038043478,-0.005270092,-0.005076142,0.010638298,-0.005714286
"W01000091","Gwynedd 001D","W06000002","Gwynedd",1202,278,274,210,305,135,1172,286,266,188,299,133,-0.024958403,0.028776978,-0.02919708,-0.104761905,-0.019672131,-0.014814815
"W01000092","Gwynedd 001E","W06000002","Gwynedd",4017,115,3307,220,197,178,4017,120,3331,212,200,154,0,0.043478261,0.007257333,-0.036363636,0.015228426,-0.134831461
"W01000064","Gwynedd 002A","W06000002","Gwynedd",1997,464,435,382,416,300,1891,460,405,369,386,271,-0.053079619,-0.00862069,-0.068965517,-0.034031414,-0.072115385,-0.096666667
"W01000072","Gwynedd 002B","W06000002","Gwynedd",1911,386,491,287,433,314,1999,381,517,291,460,350,0.046049189,-0.012953368,0.052953157,0.013937282,0.062355658,0.114649682
"W01000075","Gwynedd 002C","W06000002","Gwynedd",1492,230,536,238,285,203,1500,240,538,243,279,200,0.00536193,0.043478261,0.003731343,0.021008403,-0.021052632,-0.014778325
"W01000090","Gwynedd 002D","W06000002","Gwynedd",1415,344,276,244,344,207,1433,351,289,248,349,196,0.012720848,0.020348837,0.047101449,0.016393443,0.014534884,-0.053140097
"W01000102","Gwynedd 002E","W06000002","Gwynedd",1207,209,193,176,322,307,1229,215,196,176,342,300,0.018227009,0.028708134,0.015544041,0,0.062111801,-0.022801303
"W01000050","Gwynedd 003A","W06000002","Gwynedd",1407,273,202,217,416,299,1375,265,200,214,410,286,-0.022743426,-0.029304029,-0.00990099,-0.013824885,-0.014423077,-0.043478261
"W01000071","Gwynedd 003B","W06000002","Gwynedd",2367,482,417,518,614,336,2342,484,417,496,608,337,-0.010561893,0.004149378,0,-0.042471042,-0.009771987,0.00297619
"W01000096","Gwynedd 003C","W06000002","Gwynedd",1338,322,204,268,311,233,1366,328,211,266,311,250,0.020926756,0.01863354,0.034313725,-0.007462687,0,0.072961373
"W01000097","Gwynedd 003D","W06000002","Gwynedd",1142,201,214,239,299,189,1175,211,217,242,307,198,0.028896673,0.049751244,0.014018692,0.012552301,0.026755853,0.047619048
"W01000115","Gwynedd 003E","W06000002","Gwynedd",2213,422,307,401,656,427,2182,414,317,400,646,405,-0.014008134,-0.018957346,0.03257329,-0.002493766,-0.015243902,-0.051522248
"W01000052","Gwynedd 004A","W06000002","Gwynedd",1221,246,220,232,270,253,1214,235,209,233,271,266,-0.005733006,-0.044715447,-0.05,0.004310345,0.003703704,0.051383399
"W01000053","Gwynedd 004B","W06000002","Gwynedd",1262,203,218,229,392,220,1236,200,211,225,371,229,-0.020602219,-0.014778325,-0.032110092,-0.017467249,-0.053571429,0.040909091
"W01000087","Gwynedd 004C","W06000002","Gwynedd",1986,451,353,365,441,376,1959,437,340,367,434,381,-0.013595166,-0.031042129,-0.036827195,0.005479452,-0.015873016,0.013297872
"W01000119","Gwynedd 004D","W06000002","Gwynedd",2393,401,408,496,626,462,2422,401,413,495,637,476,0.012118679,0,0.012254902,-0.002016129,0.017571885,0.03030303
"W01000063","Gwynedd 005A","W06000002","Gwynedd",2122,454,407,306,584,371,2073,437,395,317,570,354,-0.023091423,-0.037444934,-0.029484029,0.035947712,-0.023972603,-0.045822102
"W01000081","Gwynedd 005B","W06000002","Gwynedd",2089,330,368,386,565,440,2087,333,372,379,559,444,-0.000957396,0.009090909,0.010869565,-0.018134715,-0.010619469,0.009090909
"W01000099","Gwynedd 005C","W06000002","Gwynedd",1667,302,285,304,458,318,1748,318,300,316,489,325,0.048590282,0.052980132,0.052631579,0.039473684,0.06768559,0.022012579
"W01000103","Gwynedd 005D","W06000002","Gwynedd",1279,183,219,233,376,268,1239,188,225,208,377,241,-0.031274433,0.027322404,0.02739726,-0.107296137,0.002659574,-0.100746269
